team,primary,secondary
Arizona Cardinals,#9B2743,#000000
Atlanta Falcons,#BD0D18,#D3A205
Baltimore Ravens,#280353,#D0B240
Buffalo Bills,#00338D,#C60C30
Carolina Panthers,#0088CE,#A5ACAF
Chicago Bears,#03202F,#DD4814
Cincinnati Bengals,#FB4F14,#000000
Cleveland Browns,#FE3C00,#26201E
Dallas Cowboys,#C5CED6,#0D254C
Denver Broncos,#FB4F14,#002244
Detroit Lions,#006DB0,#C5C7CF
Green Bay Packers,#203731,#FFB612
Houston Texans,#B31B34,#02253A
Indianapolis Colts,#FFFFFF,#003B7B
Jacksonville Jaguars,#D7A22A,#006778
Kansas City Chiefs,#B20032,#F2C800
Miami Dolphins,#F5811F,#008D97
Minnesota Vikings,#3B0160,#F0BF00
New England Patriots,#0D254C,#C80815
New Orleans Saints,#D2B887,#D3A205
New York Giants,#192F6B,#CA001A
New York Jets,#FFFFFF,#0C371D
Oakland Raiders,#C4C8CB,#000000
Philadelphia Eagles,#003B48,#708090
Pittsburgh Steelers,#FFB612,#000000
San Diego Chargers,#0072CE,#FFB81C
San Francisco 49ers,#AF1E2C,#E6BE8A
Seattle Seahawks,#69BE28,#002244
St. Louis Rams,#C9AF74,#13264B
Tampa Bay Buccaneers,#D60A0B,#89765F
Tennessee Titans,#648FCC,#0D254C
Washington Redskins,#773141,#FFB612
